time,TAILWATER
361.7236961274,0.4880555E+16
361.7236961275,0.4880555E+16
361.7236961276,0.4880555E+16
361.7236961278,0.4880555E+16
361.7236961282,0.4880555E+16
361.7236961284,0.4880555E+16
361.7236961288,0.4880555E+16
361.7236961290,0.4880555E+16
361.7236961291,0.4880555E+16
361.7236961292,0.4880555E+16
361.7236961293,0.4880555E+16
361.7236961294,0.4880555E+16
361.7236961296,0.4880555E+16
361.7236961297,0.4880555E+16
361.7236961298,0.4880555E+16
361.7236961299,0.4880555E+16
361.7236961300,0.4880555E+16
361.7236961302,0.4880555E+16
361.7236961303,0.4880555E+16
361.7236961304,0.4880555E+16
361.7236961306,0.4880555E+16
361.7236961307,0.4880555E+16
361.7236961309,0.4880555E+16
361.7236961310,0.4880555E+16
361.7236961311,0.4880555E+16
361.7236961312,0.4880555E+16
361.7236961314,0.4880555E+16
361.7236961315,0.4880555E+16
361.7236961317,0.4880555E+16
361.7236961321,0.4880555E+16
361.7236961323,0.4880555E+16
361.7236961324,0.4880555E+16
361.7236961325,0.4880555E+16
361.7236961327,0.4880555E+16
361.7236961328,0.4880555E+16
361.7236961329,0.4880555E+16
361.7236961331,0.4880555E+16
361.7236961332,0.4880555E+16
361.7236961333,0.4880555E+16
361.7236961335,0.4880555E+16
361.7236961339,0.4880555E+16
361.7236961341,0.4880555E+16
361.7236961345,0.4880555E+16
361.7236961347,0.4880555E+16
361.7236961348,0.4880555E+16
361.7236961350,0.4880555E+16
361.7236961351,0.4880555E+16
361.7236961353,0.4880555E+16
361.7236961357,0.4880555E+16
361.7236961359,0.4880555E+16
361.7236961360,0.4880555E+16
361.7236961361,0.4880555E+16
361.7236961362,0.4880555E+16
361.7236961364,0.4880555E+16
361.7236961365,0.4880555E+16
361.7236961366,0.4880555E+16
361.7236961367,0.4880555E+16
361.7236961368,0.4880555E+16
361.7236961369,0.4880555E+16
361.7236961370,0.4880555E+16
361.7236961371,0.4880555E+16
361.7236961373,0.4880555E+16
361.7236961377,0.4880555E+16
361.7236961379,0.4880555E+16
361.7236961380,0.4880555E+16
361.7236961382,0.4880555E+16
361.7236961386,0.4880555E+16
361.7236961387,0.4880555E+16
361.7236961388,0.4880555E+16
361.7236961390,0.4880555E+16
361.7236961394,0.4880555E+16
361.7236961396,0.4880555E+16
361.7236961397,0.4880555E+16
361.7236961398,0.4880555E+16
361.7236961400,0.4880555E+16
361.7236961404,0.4880555E+16
361.7236961406,0.4880555E+16
361.7236961410,0.4880555E+16
361.7236961412,0.4880555E+16
361.7236961416,0.4880555E+16
361.7236961424,0.4880555E+16
361.7236961427,0.4880555E+16
361.7236961429,0.4880555E+16
