pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
wel_431,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_721,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_681,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_690,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_39,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_491,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_523,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_194,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_345,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_17,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_353,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_120,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_703,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_375,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_342,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_519,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_91,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_657,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_522,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_462,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_302,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_406,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_416,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_475,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_178,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_432,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_422,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_83,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_131,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_691,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_572,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_544,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_692,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_671,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_562,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_720,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_41,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_54,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_639,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_459,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_274,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_586,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_672,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_23,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_291,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_669,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_295,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_225,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_168,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_309,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_158,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_211,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_236,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_184,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_390,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_627,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_49,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_427,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_221,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_729,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_124,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_486,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_219,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_182,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_142,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_206,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_512,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_395,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_363,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_706,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_63,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_409,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_67,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_704,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_298,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_542,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_135,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_659,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_384,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
